,Variable,R_Squared,P_value,F_stat,Correlation
0,MSSubClass,0.007103815,0.001266472,10.43146611,-0.084284135
1,MSZoning,0.027846332,1.40E-10,41.76289554,-0.166872203
2,LotFrontage,0.11215858,1.35E-39,184.1851558,0.334900852
3,LotArea,0.069613315,1.12E-24,109.0903551,0.263843354
4,Street,0.001683915,0.117048604,2.459289558,0.041035536
5,Alley,0.00076482,0.290964797,1.115961128,-0.02765538
6,LotShape,0.06532107,3.32E-23,101.8939417,-0.25557987
7,LandContour,0.000238803,0.555192643,0.348257469,0.015453242
8,Utilities,0.000204899,0.584716774,0.298804075,-0.014314296
9,LotConfig,0.004542224,0.009997322,6.652780922,-0.067396023
10,LandSlope,0.002616552,0.050685854,3.824941697,0.051152248
11,Neighborhood,0.044458341,3.91E-16,67.83614301,0.210851466
12,Condition1,0.008309218,0.000487918,12.21634799,0.091154912
13,Condition2,5.64E-05,0.774250651,0.082295875,0.007512734
14,BldgType,0.007325752,0.001061793,10.75977013,-0.085590608
15,HouseStyle,0.032458571,4.06E-12,48.91221696,0.180162623
16,OverallQual,0.625651892,2.185675268e-313,2436.770591,0.790981601
17,OverallCond,0.00606154,0.002912351,8.891622595,-0.077855894
18,YearBuilt,0.273421621,2.99E-103,548.6658211,0.522897333
19,YearRemodAdd,0.257151391,3.16E-96,504.7148547,0.507100967
20,RoofStyle,0.049464114,8.06E-18,75.87159981,0.222405292
21,RoofMatl,0.017525288,3.85E-07,26.00766215,0.132383112
22,Exterior1st,0.010722812,7.37E-05,15.80331576,0.103551011
23,Exterior2nd,0.010767287,7.12E-05,15.86957625,0.103765537
24,MasVnrType,0.000331814,0.486751284,0.483945863,0.018215771
25,MasVnrArea,0.225854309,3.92E-83,425.3664222,0.475241317
26,ExterQual,0.40562084,6.42E-167,994.9796779,-0.636883694
27,ExterCond,0.013759913,7.00E-06,20.34185584,0.117302657
28,Foundation,0.146290179,4.58E-52,249.8402563,0.382478991
29,BsmtQual,0.381955338,1.52E-154,901.0528156,-0.618025354
30,BsmtCond,0.002762905,0.044631567,4.039475464,0.052563338
31,BsmtExposure,0.087265141,8.66E-31,139.3970816,-0.295406738
32,BsmtFinType1,0.008483576,0.000425315,12.47488578,-0.092106331
33,BsmtFinSF1,0.149320267,3.39E-53,255.9235165,0.386419806
34,BsmtFinType2,0.001104549,0.204383656,1.612212729,0.033234751
35,BsmtFinSF2,0.000129462,0.663998651,0.188779522,-0.011378121
36,BsmtUnfSF,0.046001287,1.18E-16,70.30394811,0.214479106
37,TotalBsmtSF,0.376481093,9.48E-152,880.3412824,0.613580552
38,Heating,0.009763826,0.000155806,14.37602384,-0.098812076
39,HeatingQC,0.160142066,2.90E-57,278.0078902,-0.400177543
40,CentralAir,0.063165846,1.81E-22,98.30534357,0.251328164
41,Electrical,0.055199125,9.27E-20,85.1823139,0.234944941
42,FirstFlrSF,0.36705687,5.39E-147,845.5244877,0.605852185
43,SecFlrSF,0.101974078,5.76E-36,165.5611508,0.319333803
44,LowQualFinSF,0.000655674,0.32820731,0.956599754,-0.02560613
45,GrLivArea,0.50214865,4.52E-223,1470.58501,0.708624478
46,BsmtFullBath,0.051584509,1.55E-18,79.30091242,0.227122233
47,BsmtHalfBath,0.000283726,0.520153636,0.413789231,-0.016844154
48,FullBath,0.314343855,1.24E-121,668.4302965,0.560663763
49,HalfBath,0.080717171,1.65E-28,128.0189645,0.284107676
50,BedroomAbvGr,0.028295665,9.93E-11,42.45641241,0.168213154
51,KitchenAbvGr,0.018470813,1.86E-07,27.43723404,-0.135907371
52,KitchenQual,0.347143416,3.56E-137,775.2623072,-0.589188778
53,TotRmsAbvGrd,0.284860407,2.77E-108,580.7628008,0.533723156
54,Functional,0.013300528,9.98E-06,19.65357341,0.115327917
55,Fireplaces,0.218022539,6.14E-80,406.5038661,0.466928837
56,FireplaceQu,0.005066162,0.006512607,7.424075331,0.071176975
57,GarageType,0.091267711,3.44E-32,146.4329195,-0.302105463
58,GarageYrBlt,0.221066838,3.55E-81,413.7908944,0.470177454
59,GarageFinish,0.288629098,5.85E-110,591.5637321,-0.537242123
60,GarageCars,0.41012394,2.50E-169,1013.705666,0.640409197
61,GarageArea,0.388666759,5.27E-158,926.9512873,0.623431439
62,GarageQual,0.009753243,0.000157101,14.3602874,0.098758508
63,GarageCond,0.018154881,2.37E-07,26.95925893,0.13474005
64,PavedDrive,0.053526039,3.42E-19,82.45442414,0.231356952
65,WoodDeckSF,0.105244083,3.97E-37,171.4946726,0.324413445
66,OpenPorchSF,0.099765156,3.49E-35,161.5773914,0.315856227
67,EnclosedPorch,0.016532291,8.26E-07,24.50927514,-0.128577958
68,ThreeSsnPorch,0.001987703,0.088581704,2.903843266,0.044583665
69,ScreenPorch,0.012420338,1.97E-05,18.3365999,0.111446571
70,PoolArea,0.008538416,0.000407349,12.5562207,0.092403549
71,PoolQC,0.018554392,1.74E-07,27.56373186,-0.136214507
72,Fence,0.001401012,0.152866949,2.04554118,0.037430094
73,MiscFeature,0.000795341,0.28153373,1.160530618,0.028201796
74,MiscVal,0.000448998,0.418486349,0.654933564,-0.02118958
75,MoSold,0.002155953,0.076127579,3.150171675,0.046432245
76,YrSold,0.000836516,0.269413193,1.220661333,-0.028922585
77,SaleType,0.00301527,0.035909521,4.409560143,-0.054911477
78,SaleCondition,0.045408213,1.87E-16,69.35443571,0.21309203
